task_idx,task_id,website,execution,result_status,reason,agent_answer,expected_answer,exact_match,normalized_match,result_path
0,cdfae1f0087e45c3bf72788cf8d5b81f,https://piaofang.maoyan.com,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,《731》,,,
1,330dcf5ea8084f328316f90f0eeac040,https://data.worldbank.org/,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,2006年,,,
2,2b45aa573e15451a9bcf2cf935eedb65,https://kpl.qq.com/#/,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,"深圳DYG
上海EDGM",,,
3,01d5097913764d668c75d7546d0b2be7,https://ourworldindata.org,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,"2000年人口超过100万且人均二氧化碳排放量最高的五个国家是阿联酋，科威特，美国，沙特阿拉伯，特立尼达和多巴哥

其中人均GDP最低的是特立尼达和多巴哥，人均GDP为19180美元",,,
4,e7f7b81051104c5c8c105103e01a0462,https://statistics.jnto.go.jp/en/,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,2023-11-01 00:00:00,,,
5,77e8632194d04f4a892f7199be925653,https://data.gov.hk,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,"2011年第一季度172千人次
2010年第三季度154千人次
2011年第三季度151千人次",,,
6,6d2ecefa7ec049919234b2e2492a87a1,https://www.sec.gov,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,524,,,
7,61aca5f22fc84a7c8cab5448d16aad1a,https://clinicaltrials.gov/,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,NCT03393000，实际入组人数为19,,,
8,0b4944e8289646d6aeeae85e8db1315d,https://www.pewresearch.org,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,How the stock market isdoing,,,
9,e65e586e216e43c1ad26c8c0d2a39c31,https://www.fda.gov,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,N022348，2029年9月30日,,,
10,52aada65ef7b4b109d32d20477cfd3ba,https://data.stats.gov.cn,NOT_RUN,,当前环境未提供真实网站运行所需的模型 API 凭证；未执行任何 Protocol III 真实网站任务,,"第一名：青海省-52.43		
第二名：四川省-19.42		
第三名：新疆维吾尔自治区-17.63		
第四名：云南省-14.57		
第五名：重庆市-13.31",,,
